Buyer,Country,Invoices,USD,GTIP,Description,Email,Website,Phone
NIKBAR INTERNATIONAL TRANSPORT CO LTD,İRAN (İSLAM CUMHURIYETI),2,"$63,487",Profiller,ALUMİNYUM PROFİL,,,
VBH MONTENEGRO D.O.O.,KARADAĞ,2,"$63,477",Profiller,** ALÜMİNYUM PROFİL (BOYALI) 2024/D1-009/69  **,,,
DANTELA SARL (R),KAMERUN,66,"$63,413",Profiller,"ALUMİNYUM PROFİL | 25 L 18 KÖŞE TAKOZU (/8,2MM) | PRES*QGGC00007219 | ALUMİNYUM PROFİL | 25 L 64 KÖŞE TAKOZU (/18,5MM) | PRES*QGGC00007218 | AL�E2�MİN4BYUM PAR21LAK PROF�8A�L*QGGC00002 7207,ALUMİNYUM PROFİL PRES*QGGC00000114,ALUMİNYUM BOYALI PROFİL*QGGC+00000115",,,
ZEBRA NEGOCE - FAS,FAS,3,"$63,336",Profiller,,,,
ALROKN AL KHAMISS TRADING,UMMAN,2,"$63,297",Profiller,ALÜMİNYUM ALIŞIMLARDAN DİĞER PROFİLLER (/BOYASIZ ) | ALÜMİNYUM PRES PROFİ-L,,,
AL ROKN AL KHAMIS TRADING & CO. LLC.,UMMAN,5,"$63,295",Profiller,ALÜMİNYUM ALIŞIMLARDAN DİĞER PROFİLLER (/BOYASIZ ) | ALÜMİNYUM PRES PROFİ-L,,,
AGUI BIDEAN,İSPANYA,2,"$63,158",Profiller,,,,
LLC STEELEX,KIRGIZİSTAN,3,"$63,141",Profiller,ALUMİNYUM PROFİL VE AKSESUARLARI,,,
MEBLO TREJD DOOEL,KUZEY MAKEDONYA CUMHURİYETİ,15,"$63,125",Profiller,ALÜMİNYUM }PROFİL,"ice@meblotrejd.com, 416contact@meblotrejd.com",https://www.meblotrejd.com,"+38978418416, +38947230003, +38978444417, +38978444416, +38978418416, +037275302127, +00334267721, +0501656253680, +03727530212, +03342677217"
RM ALUMINIUM S.R.O.,SLOVAKYA,10,"$63,123",Profiller,ALUMİNYUM }PROFİL,,,
ALURON K. BARAN I WSPOLNICKY S.K.A.,POLONYA,4,"$63,116",,ALUMINYUM PROFIL / B-OYASIZ,,,
"CIBIC BALEARES, S.L",İSPANYA,5,"$63,106",Profiller,ALÜMİNYUM PROFİL PRE-S,,,
ROLFLEX NEDERLAND B.,HOLLANDA,27,"$63,060",Profiller,ALÜMİNYUM PROFİL (BO-YASIZ),,,
HLT SP. Z.O.O.,POLONYA,17,"$63,049",Profiller,ALÜMİNYUM PROFİL (BOYASIZ VE FİTİLSİZ)/ | ELOKSALLI ALÜM.PROFİ-L  (FİTİLSİZ) | ELOKSALLI ALÜM.PROFİ-L (FİTİLSİZ),,,
ADVANCED CREATIVE TECHNICAL SERVICES LLC,BİRLEŞİK ARAP EMİRLİKLERİ,20,"$62,984",Profiller | İçi boş profiller,** ALÜMİNYUM PROFİL (BOYASIZ) 2023/D1-03/000  **,,,
SARL VOLUX ALUMINIUM,CEZAYİR,3,"$62,982",Profiller | İçi boş profiller,"MEKANİK PROFİL( E-0374 BAĞLANTI- PRES- STANDART- ( KONSTRÜKSİYON VE BAĞLANTI EKİPMANLARI)),MEKANİK PROFİL ( E-0375 BAĞLANTI- PRES- STANDART- ( KONSTRÜKSİYON VE BAĞLANTI MEKANİK PROFİL( E-0374 BAĞLANTI- PRES- STANDART- ( KONSTRÜKSİYON VE BAĞLANTI EKİPMANLARI))",,,
SOLARPRO TECNOLOGY AD,BULGARİSTAN,10,"$62,964",Profiller,END CLAMP/ MIDDLE CL-AMP | P8 END CLEMP / P9 MIDDLE CLEMP,,,
BEST VERANDA BV,HOLLANDA,4,"$62,959",Profiller | İçi boş profiller,ALÜMİNYUM PROFİL (BO-YASIZ),,,
MARKIZA D.O.O.,SIRBİSTAN,4,"$62,958",İçi boş profiller,RISING ALÜMİNYUM PRO-FİL(67 ADET),markiza.doo@gmail.com,"https://www.markizadoo.rs, https://imss-markiza.ls.rs","+381112608826, 0696813412, 011/3911-444, 063/406-000"
FİXFAST LTD,BİRLEŞİK KRALLIK,22,"$62,955",Profiller,ALÜMİNYUM }PROFİL,,,
KERAMIKA JOVANOVIC DOOEL SKOPJE (EURO),KUZEY MAKEDONYA CUMHURİYETİ,10,"$62,932",Profiller,,"leskovac@keramikajovanovic.rs, dcbeograd@keramikajovanovic.rs, sombor@keramikajovanovic.rs, zemun@keramikajovanovic.rs, s.mitrovica@keramikajovanovic.rs, senjak@keramikajovanovic.rs, zajecar@keramikajovanovic.rs, konjarnik@keramikajovanovic.rs, kikinda@keramikajovanovic.rs, temerin@keramikajovanovic.rs, kac@keramikajovanovic.rs, visnjicka@keramikajovanovic.rs, veternik@keramikajovanovic.rs, subotica@keramikajovanovic.rs, ogrev@ogrevzr.com, office@keramikajovanovic.rs","https://www.keramikajovanovic.rs/, https://www.keramikajovanovic.mk/","+38123640650, +06217765496, +0482542382222, 0198280891, 3892062177, 4104825423, 3812364065, 4019828089, 3437811681, 4375281839, +38123640641, +38123564180, +38123640645, +38123563396, +38123564564, +38123640642, +38123640643, +38123640644, +381023640640, +38978481095, +0519185818019, +0415939776517, +050924413021, +02403683538, +0895707613700, +0182816684989, +03861003395, 0634154052, +04618667893"
QUARTZ COATINGS --NANO STONE CARPET,AVUSTRALYA,3,"$62,853",Profiller,,,,
KAPLLAN ALLARAJ,ARNAVUTLUK,2,"$62,812",Profiller,16 MM CAM AYAK SİYAH- MAT,"k.allaraj@hotmail.com, allarajamla@hotmail.com",,"0682000686, 0685633557"
SINN POWER GMBH,ALMANYA,26,"$62,768",Profiller,601.01.001*ALUMİNİUM- PROFİLE,,,
ALU GROUP LLC,BIRLEŞIK DEVLETLER,90,"$62,697",Profiller,"184010*CAM ÇITASI 5 MM,9621230*RAY PROFİ/Lİ,184050*CAM ÇITASI 22 MM | 211017547*LPA1 PROFİL,211017548*LPA2 PRO/FİL | 449E2590*D4BÜŞEY 21KAYIT PRO8AFİLİ E1 22 05,398050*İZOMAT İÇ PROFİLİ 69/44,398060*İZOMAT DIŞ PROFİLİ 69/44,284114*PT IZOLATÖR 35/18,9,284116*PT IZOLATÖR 35/28,9,358470*ADAPTÖR PROFİLİ 28,183950*IZOMAT İÇ PROFİLİ 100 MM,188920*İZOMAT DIŞ PROFİLİ 100/125,224092*PVC İZOLATÖR 22,5MM,18 | 477810*YATAY PROFİL,9621230*ALÜMİNYUM PR/OFİL,168880*DOLGU PROFİLİ | ALÜMİNYUM LEVHA*ALÜM-İNYUM LEVHA | ALÜMİNYUM PANEL*ALÜM-İNYUM PANEL | ALÜMİNYUM PERVAZ*ALÜ-MİNYUM PERVAZ | ALÜMİNYUM PROFİL*ALÜ-MİNYUM PROFİL | KÖŞEBENT*KÖŞEBENT,ALÜMİNYUM ANKRAJ*ALÜMİ/NYUM ANKRAJ | KÖŞEBENT*KÖŞEBENT-",,,
VEEKONN SP Z O.O.,POLONYA,5,"$62,697",Profiller,ALÜMİNYUM PROFİL,,,
MONTAGE SERVİCE ZİEGLER EURO,ALMANYA,3,"$62,676",İçi boş profiller,PROFİ_L,,,
ARIZO DECO SRL,MOLDOVA,7,"$62,602",Profiller,AG BALKON CAMLAMA PROFİL VE AKSESIARLARI/ ( ALIMINYUM PROFİL),,,
A.KOULIKIDIS & SONS S.A.,YUNANİSTAN,7,"$62,575",Profiller,ALUMINYUM }SUPURGELIK,"info@koulikidis.gr, account@koulikidis.gr",http://koulikidis.gr,"302310785708, 302310785177"
TRIMICO TRADE D.O.O.,KARADAĞ,22,"$62,568",Profiller | İçi boş profiller,ALÜMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL(BOY-ASIZ),,,
OĞUZ KADIOĞLU MİMARLIK MÜH.İNŞ.SAN.İÇVE DIŞ TİC.A.Ş,AZERBEYCAN-NAHÇIVAN,73,"$62,565",Profiller | Çubuklar,10MM DİK SERAMİK BİTİM PROFİLİ MAT EKOSA/LLI | ST778-YAKAFLEKS BASKI ÇITASI | STK00082-50 MM X 150 MM KÖŞE KAPAK PROFİ/Lİ | STK00083-KAP.ALTI DVR-TVN PRO.W:100MM KR/EM F. | STK00136-40 MM X 70 MM KÖŞE KAPAK PROFİL/İ | SU0043-10 MM AL.+ TPV ISIL GENLEŞME DERZ/ PRO. / GRİ | SU0044-KAP. ALTI DVR-TVN PRO.W:100MM H:1/5MM SİYAH F. | SU0045-KAP. ALTI ZEMİN PRO.W:100MM H:90M/M | SU0046-200 MM DUVAR-TAVAN KAPAK PROFİLİ/ | SU023_6 | SU023_7 | SU023_8,,,
ALUFLOR SH.P.K.,ARNAVUTLUK,5,"$62,470",Profiller,AL.PRF.5790-5791.0004*MEKANİK İŞLEM GÖRMÜŞ ALÜMİNYUM BOYALI PROFİL | AL.PRF.5799-5800.0008*MEKANİK İŞLEM GÖRMÜŞ ALÜMİNYUM BOYALI PROFİL | AL.PRF.5840.0007*MEKANİK İŞLEM GÖRMÜŞ ALÜMİNYUM BOYALI PROFİL,"sales@aluflor.com, steven.acker@aluflor.com",https://aluflor.com/,"+355694041204, +355674041209, +15169240063"
MARCHINI PLAST,BULGARİSTAN,41,"$62,460",Profiller,"ALÜMİNYUM ELOKSAL PROFİL (BOYASIZ, KAĞIT/ KAPLANMAMIŞ,FİTİLSİZ) | ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMA/MIŞ,FİTİLSİZ) | ALÜMİNYUM PROFİL (BOYASIZ, KAĞIT KAPLANM/AMIŞ,FİTİLSİZ)",,,
WOHLLEB RAHMEN GMBH,AVUSTURYA,6,"$62,449",Profiller,6063 MAT ELOKSALLI PROFİLLER,office@wohlleb.at,"https://www.wohlleb.at/, https://www.wohlleb.at/en/","+4317696936, +43176969360, +43176969360, +4317691054"
"INTERNATIONAL TIMBER CO., LTD.",SUUDİ ARABİSTAN,1,"$62,443",Profiller,ALÜMİNYUM PROFİL ALA-ŞIMSIZ,,,
MOLDO GLASS S.R.L.,ROMANYA,2,"$62,412",Profiller,ACCESSORİE}S SET | ALÜMİNYUM PROFİL PRE-S,"ofertare@moldoglass.ro, office@moldoglass.ro","https://www.moldoglass.ro, https://en.moldoglass.ro","0747273702, 0234576992, 0234546665, 0749077181"
DESIGN MAX OFFICE SADDON ST. A-101,IRAK,6,"$62,400",İçi boş profiller,,,,
JOSEFH WESTIFORM GMBH,ALMANYA,3,"$62,386",İçi boş profiller,"ALUMİNYUM ALAŞIMLARINDAN İÇİ BOŞ PROFİLL/ER(BOYASIZ,ISI YALITIMI İÇERMEYEN)",,,
HALLSTOCK B.V.,POLONYA,1,"$62,381",Profiller,"AL�E2�MİN4BYUM BOY21ALI PROF�8A�L 7167 TEK2 STÜR 7016 ANTRASİT 6063 F22 4000 MM,ALÜMİNYUM BOYALI PROFİL 7169 TEKSTÜR 7016 ANTRASİT 6063 F22 5000 MM,ALÜMİNYUM BOYALI PROFİL 7170 TEKSTÜR 7016 ANTRASİT 6063 F22 6000 MM,ALÜMİNYUM BOYALI PROFİL 7172 TEKSTÜR 7016 ANTRASİT",,,
HASMATİK BAKU MMC,AZERBEYCAN-NAHÇIVAN,7,"$62,369",Profiller,ALÜMİNYUM PROFİL PRE-S | VERANDA AK}SESUARLARI,,,
KHANE MODERN ASATİR PASARGAD,İRAN (İSLAM CUMHURIYETI),1,"$62,320",Profiller,,,,
PELE SYSTEMS,İSRAİL,2,"$62,317",Profiller,ALUMİNYUM }PROFİL,,,
TORMEK GLOBAL SERVICES LTD.,NİJERYA,1,"$62,313",İçi boş profiller,50 MM MERDİVEN BURUN PRO. MAT ELOKSALLİ /SİYAH B.,,,
LARGILLIER SAS,FRANSA,6,"$62,248",Profiller,ALÜMİNYUM }PROFİL,,,
ABRA  UNLIMITED DOOEL,KUZEY MAKEDONYA CUMHURİYETİ,7,"$62,153",Profiller,,"abraunlimiteddooel@gmail.com, contact@medicagent.mk",https://www.tendata.com/en/supplier/abra-unlimited-dooel-MKDNf09820136cdc7135204bdf03b7f8f7dc.html,"+392329900019, +730890980018, +481730000000, +38976219213, +011502003518, 5683783918, 5714285714, 2892090727, 3101150200, +290000002649897, +4007024537110, +7024537110, +77441290136, +0340120306590, +0377494400172, +00002649897, 4007024537, 2700774412, 2403401203"
BYEET ELZDEHAR CO.,LİBYA,2,"$62,101",İçi boş profiller,İ-756-HP-01 HİJENİK -ÜST PROFİL | İ-756-HP01-02 HİJENİK ALUMİNYUM TABAN PR/OFİLİ,info@ezdeharit.ly,https://ezdeharit.ly,"+218910248985, +218214843903"
LE FRIGO,TUNUS,3,"$62,084",Profiller,İ-757-Y03-800 ALÜMİNYUM REZİSTANS KAPAK PROFİLİ,,,
DECCO SPOLKA AKCYJNA,POLONYA,7,"$62,079",Profiller,ALUMİNYUM }PROFİL,,,
MİRKER D.O.O.,BOSNA-HERSEK,9,"$62,076",Profiller,"1015 LİNEAR AYDINLATMA ALT ALÜMİNYUM LED/ PROFİLİ | ALM. T ÇITA 4 CM,ALM. ARA ÇITA 4 CM,ALM./ T ÇITA 4 CM SİYAH,ALM. ARA ÇITA 4 CM SİYAH | ALM.YANBANT 4 CM,ALM-.YANBANT 4 CM SİYAH",mirkerdoo@gmail.com,https://eeshop.ba/shop/mirker-doo,"+387 66 372 314, 049/332-015"
ELME -EKS MESUT MUSTAFA ET,BULGARİSTAN,47,"$62,052",Profiller | İçi boş profiller,ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (EL-OKSALLI) | ALÜMİNYUM PROFİL İÇİ BOŞ (ELOKSALLI)/ | ALÜMİNYUM PROFİL İÇİ- BOŞ (BOYALI),"elmeex@abv.bg, elmeexplv@abv.bg, info@elmeex.com",https://www.elmeex.com,"359878130429, 359899556066, 359898936310"
AGORA GROUP W.L.L,KATAR,4,"$62,021",Profiller,ALUMINYUM }PROFIL,,,
GAP INSAAT YATIRIM VE DIS TICARET A.S. TURKMENISTA,TÜRKMENİSTAN,43,"$62,019",Profiller,ALUMİNYUM BÜKÜMLÜ KU-TU PROFİL | ALUMİNYUM GÜNEŞ KIRI-CI PROFİLİ | KÖŞEBENT P}ROFİLİ,,,
LANDSLAKE INTERNATIONAL KAPI VE PENCERE SİSTEMLERİ ANONİM ŞİRKETİ,İZMIR SERBEST BÖLGESI,53,"$61,886",Profiller,ALUMİNYUM ALAŞIMLARINDAN DİĞER PROFİLLER/ | ALÜM DÜZ LEVHA1500*3-000*1MM | ALÜM DÜZLE}VHA | ALÜMİNYUMLKÖŞEBENT- | MEK.İŞL.GÖRM.KESİL.ALM. PROFİL RAL 9001 /MAT(25*25 T PROFİL ),,,
ALIYEV AZAR TAVAKGÜL OGLU,AZERBEYCAN-NAHÇIVAN,1,"$61,877",Profiller,,,,
OOO ASRINA KHUJAND (TERMİNAL-1),TACİKİSTAN,4,"$61,851",Profiller,,,,
MBM PLAST D.O.O,SLOVENYA,7,"$61,842",Profiller,"İNCE ARKA GERME PROFİLİ,ÖN GERME PROFİLİ/",,,
KOSSER UND SOHN,ALMANYA,2,"$61,822",Profiller,TOKOZ CP-P1 ALUMİNYUM PROFİL (25*50*6000/ MM),,,
LEDN COMPANY,IRAK,14,"$61,814",Profiller,ALÜMİNYUM PROFİL PRE-S | LİNER KANAT PROFİLİ -PRES,,,
VİSİON LİFE GLASS SRL,ROMANYA,15,"$61,734",Profiller,18 MM.ALÜMİNYUM PLİSE KASA PROFİLİ-18 MM/.ALÜMİNYUM PLİSE KANAT PROFİLİ,zafer.ozcelik33@gmail.com,,0721860096
NÖGEL MONTAGETECHNIK,ALMANYA,3,"$61,710",İçi boş profiller,ALUMINYUM }PROFIL | ALÜMİNYUM PROFİLLER- | ALÜMİNYUM }PROFIL,,,
"""UMA 2018"" D.O.O.",SIRBİSTAN,75,"$61,682",Profiller,ALÜMİNYUM PROFİL | ALÜMİNYUM }KAPLİN | ALÜMİNYUM }PERVAZ | ALÜMİNYUM }PROFİL | ALÜMİYUM K}APLİN | METAL KONSTRUKSİYON | METAL KONS}TRUKSİYON | METAL TENTE KONSTRUK-SİYON | METAL TENTE KONSTRUKSİYON,,,"5714285714, 011502003518, 3923299000, 2505950862, 0390101000, 0390990000, 3101150200, 5683783918, 5903901010, 2505969207, +8616621075894, 0242000019, 0761309013, 0620100011, 0690909000, 0761309019, 2495624895, 3024200001, 5407613090, 4062010001, 03338071827"
PREVENT COMPONENTS D.O.O. GORAZDE,BOSNA-HERSEK,3,"$61,679",Profiller | İçi boş profiller,,"prodaja.safety@prevent.ba, info@preventgroup.com, info@prevent.ba","https://preventgroup.ba/en/company/, https://preventsafety.com/kontakt/","+38738230510, +38738230430, +38733774744"
VERANDA GLASWAND NL B.V.,HOLLANDA,1,"$61,679",Profiller,ALÜMİNYUM PROFİL ( B-OYASIZ ),,,
IMPERİO HOLDİNGS LİMİTED D.O.O,KARADAĞ,3,"$61,619",Çubuklar,ALUMINYUM }PROFIL,,,
SCHILDERFABRIKATION MOEDEL GMBH,ALMANYA,4,"$61,602",Profiller,,,,
LARA BELLA WINDOW COVERING INC.,KANADA,4,"$61,587",Profiller,"** ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLA/NMAMIŞ, FİTİLSİZ) 2024/D1-00898  ** | ** ALÜMİNYUM PROFİL (BOYALI,KAĞIT KAPLAN/MIŞ,FİTİLSİZ) 2024/D1-00898  ** | ** ALÜMİNYUM PROFİL (BOYASIZ,KAĞIT KAPLA/NMAMIŞ,FİTİLSİZ) 2024/D1-00898  **",,,
"ALTARABUT COMPANY FOR DOORS, WİNDOWS AND GEOMETRİC SHAPES.",LİBYA,2,"$61,575",Çubuklar | İçi boş profiller,,info@altarabut.ly,https://altarabut.ly/en/,0021894553106
BV ELEGAN,BELÇİKA,8,"$61,487",Profiller | Çubuklar,"SİE2GMA P4BROFİL 2120*20 K6*8A2,54,SİGMA2  PROFİL KAPALI 30*30 K8*6,11,SİGMA PROFİL AĞIR 40*80 K10*19,19,SİGMA+ PROFİL AĞIR 45*45 K10*13,47,SİGMA PROFİL LIGHT 45*45 K10*9,78",,,
GERİ-ROLL,SIRBİSTAN,2,"$61,485",,,,,
CLASIC S.R.L.,ROMANYA,6,"$61,479",Profiller,ALÜMİNYUM PRES PROFİ-L,,,"0351412052, 0740210221"
OUTPLAY LTD,BULGARİSTAN,8,"$61,440",İçi boş profiller,"ALÜMİNYUM }PROFİL | GİYOTİN CAM SİSTEMLERİ, ISICAMLI SÜRME K/API SİSTEMLERİ, ALÜMİNYUM PROFİLLER | GİYOTİN CAM SİSTEMİ- | OROMATİK PERGOLA TAVAN SİSTEMİ- ISICAMLI/ SÜRME KAPI SİSTEMİ",,,
"FE ""UZ AUTO TRAILER"" LLC",ÖZBEKİSTAN,34,"$61,404",Profiller,"(ALUMINYUM KAYAR ÇATI RAYI),ALÜMİNYUM PR/OFİL (BOYASIZ,İZOLASYONSUZ) [102.00 AD] | ALUE2MINYU4BM V TIP21 TAHTALIK8A PROFILI 142 0X25X3160 PRES AL3859,ALUMINYUM TAHTALIK PROFILI 120X25X3150 PRES+ AL5070 (1035) | ALUMINYUM V TIP TAHTALIK PROFILI 140X25X/3160 PRES AL3859 | ALUMINYUM YAGMUR OLUGU PROFILI 2600MM PR/ES | ALUMINYUM YAGMUR OLUGU PROFILI 2600MM PR/ES,ALUMINYUM V TIP TAHTALIK PROFILI 140X25X3160 PRES AL3859 | ALÜMİNYUM PROFİL (BOYASIZ,İZOLASYONSUZ) (ALUMINYUM KAYAR ÇATI RAYI) [136.00 AD] | ALÜMİNYUM PROFİL (BOYASIZ,İZOLASYONSUZ) (SESAM ALUMINYUM KAYAR ÇATI RAYI HYBRID) [136.00 AD] | ALÜMİNYUM PROFİL (BOYASIZ,İZOLASYONSUZ) /[102.00 AD] | ALÜMİNYUM PROFİL (BOYASIZ,İZOLASYONSUZ) /[90.00 AD] | ALÜMİNYUM PROFİL (BOYASIZ,İZOLASYONSUZ)(13600MM SESAM GUMRUKLU ALUMINYUM KAYAR CATI RAYI HYBRID) [10+2.00 AD] | ALÜMİNYUM PROFİL (BOYASIZ,İZOLASYONSUZ)*/(ALIMINYUM KAYAR ÇATI RAYI) [102.00 AD]",,,
GLASSART SRL,DOMİNİK CUMHURİYETİ,7,"$61,383",Profiller,ALÜMİNYUM PROFİL PRE-S,,,
TASH PRO LTD,ÖZBEKİSTAN,1,"$61,383",Profiller,"ARA ÇITA 60 CM,YAN KAPAMA 60 CM,T ÇITA 60 CM,DAMLALIKLI TEZGAH ÖNDEN KAPALI T ÇITA,SETLİ TEZGAH OVAL+TEZG.İKİ TARAFLI KAPALI T ÇITA,4 CM ARA ÇITA (60 CM),4 CM YAN KAPAMA,4 CM TEZGAH T ÇITA",,,
EUROPOINT SNC,İTALYA,8,"$61,364",İçi boş profiller,ALUMİNYUM PROFİL (BO-YASIZ) | ALUMİNYUM PROFİL/BOY-ASIZ,,,
NOVARES AUTOMOTIVE ROMANIA SRL,ROMANYA,36,"$61,321",Profiller,İÇİ BOŞ ALÜMİNYUM PROFİL (BOYASIZ)/,,https://www.novaresteam.com/,
BTL INDUSTRIES JSC,BULGARİSTAN,5,"$61,301",Profiller,ALÜMİNYUM }PROFİL,info@btl.bg,https://www.btl.bg/,"35932622252, 8170986080, 17954448112, 1596190871, 580285449"
DECEUNINCK D.O.O,HIRVATİSTAN,31,"$61,200",Profiller,"HS76 ALM THRESHOLD (-155 ADET) | HS76 ALM. ADDITION,HS76 ALUMINIUM TOP RA/IL | HS76 ALM. THRESOLD (-246 ADET) | HS76 ALM. THRESOLD(1-10 ADET)",,,
ELITE WOOD KITCHEN CABINETS MANUFACTURING LLC,BİRLEŞİK ARAP EMİRLİKLERİ,6,"$61,062",İçi boş profiller,KC1000-000-01*MEKANIK ISLEM GORMUS MONTA/JA HAZIR ALUMINYUM,,,
BUILDING EXPERTS COMPANY FOR,IRAK,2,"$60,942",İçi boş profiller,ALÜMINYUM PROFIL,,,
W.G ALUMINA LTD,İSRAİL,11,"$60,941",Profiller,"ALÜMİNYUM ALAŞIMLARDAN DİĞER PROFİLLER (/BOYASIZ) | ALÜMİNYUM PROFİL (BOYALI, İZOLASYONSUZ) | ALÜMİNYUM PROFİL (BOYALI, İZOLASYONSUZ)/ | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ) | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/ | ELOKSALLI ALÜMİNYUM PROFİL,SİYAH ELOKSAL/LI ALÜMİNYUM PROFİL,PRES AL. PROFİL",,,
VOLTAIK ENERGIE SOLUTIONS GMBH,ALMANYA,3,"$60,905",Profiller,ALUMİNYUM PROFİL (20-0MM) PRES | ALÜMİNYUM }PROFİL,,,
GENIUS CONSTRUCTIONS SARL,NİJER,6,"$60,883",İçi boş profiller,ALÜMİNYUM }PROFİL,,,
MAIN CONSTRUCTION LTD.,GÜRCİSTAN,6,"$60,851",Profiller | Çubuklar | İçi boş profiller,"KAPE2. ALT4BI ZEMİ21N PRO. W:8A30MM H:13MM2  GRİ F.,KAP. ALTI ZEMİN KÖŞE PRO.W: 30MM H:13MM GRİ F.,KAP.ALTI DV+R-TVN KÖŞE PRO.W: 30MM H:12,5MM GRİ F.,KAP. ALTI DVR-TVN PRO. W:30MM H:15MM GRİ F.",chonqa@gmail.com,"https://www.companyinfo.ge/ka/corporations/901634, https://www.bia.ge/Company/121451",3638106519
NOOR JORDAN FOR UMBRELLA SYSTEM,ÜRDÜN,2,"$60,850",Profiller | İçi boş profiller,"1530103010001*RENKLİ BOYALI ALÜMİNYUM PR/OFİL,1530102010001*MAT ELOKSALLI ALÜMİNYUM PROFİL",,,
"BRANDSHANDEL, LLC",BEYAZ RUSYA,13,"$60,836",Profiller,,,,
GPN STROJIRNA S.R.O.,ÇEK CUMHURİYETİ,2,"$60,668",Profiller,601.01.001*ALUMİNİUM- PROFİLE,,,
EURL TIZI VITRANA,CEZAYİR,5,"$60,632",Profiller | Çubuklar,ALUMINYUM }PROFIL,,,
MAXXI PRINT GROSSBILDOSUNG GMBH,ALMANYA,2,"$60,605",Profiller,,,,
MEDLIGHT CO.,TUNUS,2,"$60,571",Profiller,PRES ALÜMİNYUM PROFİ-L,,,
KALIBRA NOVA SRO,ÇEK CUMHURİYETİ,2,"$60,551",İçi boş profiller,"AG BALKON
CAMLAMA
PROFİL VE
AKSESUARLARI/-ALUMINYUM
PROFIL | AG BALKON CAMLAMA PROFİL VE AKSESUARLARI/",,,
FRIOSISTEMAS S.A.C.,PERU,4,"$60,529",Profiller,ALÜMİNYUM PROFİLLER (BOYASIZ) 6900 ADET=/ 405 KG,,,
PROFILPAS SPA,KANADA,1,"$60,522",Profiller,ALÜMİNYUM PROFİL ( 2-5020 AD) | ALÜMİNYUM PROFİL (36-120 AD ),,,
PROLIGHT LICHTTECHNIK GMBH,ALMANYA,7,"$60,519",Profiller,ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [6720.00 AD],,,
MARİNE TOP SHOP,BIRLEŞIK DEVLETLER,2,"$60,490",İçi boş profiller,MUHTELİF İŞLENMİŞ ALÜMİNYUM DÖKÜM PROFİL/,,,
GLOCK- ÜBERDACHUNGEN,FRANSA,1,"$60,485",Profiller,ALÜMİNYUM PROFİL BOYALI,,,
DELAL LIBYA ALAULA COMPANY FOR AWNINGS AND TENTS P,LİBYA,3,"$60,427",Profiller,ALÜMİNYUM }PROFİL,"delallibya.ly@gmail.com, info@delal-libya.ly",https://delal-libya.ly/,"+218913503410, +218925205826"
A.CIKIS H.O.D.N ZOOM VERANDAS,HOLLANDA,17,"$60,419",Profiller | İçi boş profiller,,,,
EURO ROLETA MS SH.P.K.,KOSOVA,14,"$60,349",Profiller,"ALUE2MİNY4BUM PROF21İL PRES*8AALUMİNYUM 2 PROFİL PRES,ALÜMİNYUM PROFİL BOYALI*ALÜMİNYUM PROFİL BOYALI+ | ALUMİNYUM PROFİL PRES*ALUMİNYUM PROFİL PRES,ALÜMİNYUM PROFİL BOYALI*ALÜMİNYUM PROFİL BOYALI+ | ALÜMİNYUM PROFİL BOYALI*ALÜMİNYUM PROFİL/ BOYALI",euroroleta@hotmail.com,https://www.facebook.com/euroroleta/,"+383 44 196 058, +383 45 47 47 47, +383 44 80 40 75, 38345 474 747"
PERDE INVEST,FAS,10,"$60,330",Profiller,ALÜMİNYUM }PROFİL,,,
SAS ORIAL,FRANSA,11,"$60,281",Profiller,"6063 PARLAK ELOKSALLI PROFİLLER | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/",,,
BURAL SOLAR SANAYİ VE TİCARETLİMİTED ŞİRKETİ,KAYSERİ SERBEST BÖLGE,4,"$60,262",Çubuklar,ALÜMİNYUM PROFİL ELOKSALLI | ALÜMİNYUM PROFİL PRES,,,
HPM GMBH,ALMANYA,4,"$60,252",İçi boş profiller,ALÜMİNYUM PROFİL (BO-YALI)*503 | ALÜMİNYUM PROFİL İÇİ BOŞ (BOYALI)*505/,,,
KURTOGLU  GEORGIA LTD,GÜRCİSTAN,28,"$60,247",Profiller | İçi boş profiller,** ALÜMİNYUM PROFİL ( BOYALI ) 2023/D1-0/3000  ** | ** ALÜMİNYUM PROFİL (BOYALI) 2024/D1-009/69  ** | ** ALÜMİNYUM PROFİL (BOYASIZ) 2023/D1-03/000  ** | ** ALÜMİNYUM PROFİL (ELOKSAL) 2023/D1-03/000  ** | ** ALÜMİNYUM PROFİL (ELOKSAL) 2024/D1-00/969  **,info@alu.ge,https://alu.ge/english/contacts,599 25 63 63
BANQUE ZITOUNA P/C STE PRIX GROS,TUNUS,2,"$60,190",Profiller,,,,
DESİGNER POOL COVERS UK LTD.,BİRLEŞİK KRALLIK,4,"$60,167",Profiller,ALÜMİNYUM ELOKSALLI -PROFİL,,,
