Buyer,Country,Invoices,USD,Email,Website,Phone,Address
LTD INTER CONSTRUCTION,GÜRCİSTAN,1,"$31,209","[""info@interconstruction.ge""]","[""https://www.interconstruction.ge""]","[""+995571977677"",""+995557139215""]","[""King tamar street 14, Batumi, Georgia""]"
LLC BD PROPERTY,GÜRCİSTAN,1,"$31,196","[""bd.group.realty@gmail.com""]","[""https://bdgroup.ge/en/""]","[""+995322171777"",""+01713637305"",""+01753533228"",""+995598154004"",""+995511210404"",""0025811342"",""+0171252339055"",""5002581134"",""5598154004"",""5312314383"",""4061853297"",""4062566834""]","[""3-5 Kazbegi str. (Okrokana vil.) Tbilisi, 0105 Georgia""]"
PHONENIX PROJECT MANAGEMENT LTD,GÜRCİSTAN,1,"$31,150","[""info@phoenixpm.ge""]","[""https://www.phoenixpm.ge""]","[""+995 599 244477"",""+995 577 55 55 73""]","[""31, asi atasi motsame st., 0131 Tbilisi, Georgia""]"
LTD MEGOBROBA SANAPIROZE,GÜRCİSTAN,5,"$30,388","[""info@megobroba.ge""]","[""https://megobroba.ge/""]","[""(+995) 32 2 622 122"",""+995 574162900""]","[""Sales Office: Tbilisi, 66a Guramishvili Avenue"",""Project Location: 51 Cosmonauts Embankment, Didube, Tbilisi""]"
ERTOBA LTD,GÜRCİSTAN,3,"$30,085","[""info@ertoba.ge""]","[""http://ertoba.ge""]","[""+995 595 337733"",""+995 32 2670161""]","[""VII m/d Gldani, david jabidze str. #8, Tbilisi, 0107, Georgia""]"
NIMEX GEORGIA LLC,GÜRCİSTAN,3,"$30,050","[""info@nimex.az""]","[""https://nimex.ge/""]","[""(+994 12) 564 02 79"",""0475886305"",""0405584807"",""4489904095"",""5851047588"",""4133040558""]","[""ბაქო, აჰმად რაჯაბლის ქუჩა 50E, Baku, Azerbaijan""]"
GEO ENERGY LLC,GÜRCİSTAN,9,"$29,363",,"[""https://geoenergyllc.com/""]","[""0146020521"",""8002139508"",""5018432505""]","[""600 Brookstone Centre Parkway Columbus, GA 31904""]"
SHADOW PROFİLE LLC,GÜRCİSTAN,26,"$28,927","[""shadowgapprofile@gmail.com""]","[""https://www.facebook.com/shadowgapprofile1/""]","[""+995 598 88 44 11""]",
GRIGOR MGDESIAN,GÜRCİSTAN,5,"$27,685","[""service@nbd.ltd""]","[""https://en.nbd.ltd/trader/info/NBDX2H177885792"",""https://en.52wmb.com/buyer/139833181""]","[""+228103226838"",""+32001000540"",""0429900000"",""0249000000"",""0421000000"",""+0701324008243"",""+0708373374976"",""+0718602024141"",""+0721955789619"",""+0725057477427"",""3638106519"",""+8616621075894"",""0151009000"",""2677098000"",""3024900000"",""5015100900"",""5269200901"",""2722262184""]",
LTD IMERI  USH.CHXEİDZE STREET N96,GÜRCİSTAN,2,"$27,620","[""showroom@imeri7.ge"",""hello@loftpineapple.com"",""kirovi@imeri7.ge"",""kutaisi@imeri7.ge"",""otkhiani4@imeri7.ge"",""diromi@imeri7.ge""]","[""https://en.52wmb.com/buyer/139746694"",""https://www.yell.ge/company.php?lan=eng&id=162160"",""https://imeri7.ge""]","[""+940360100000"",""+940161000019"",""+940350000019"",""+8616621075894"",""0220000000"",""0242000019"",""2677098000"",""3022000000"",""4835080001"",""3024200001"",""+0795765794221"",""+0754293344615"",""+015658191005"",""+075684469438"",""+514788740"",""0376738732"",""+09451363883"",""0319566068"",""+521135434"",""+036854775807"",""3919908090"",""2722308444"",""5894336373"",""+995599727972"",""+995596809988"",""+995551550276"",""0461544148"",""3526704615"",""2996999999"",""4838999999"",""+00000000000"",""+08180305391"",""+0313095458623"",""+0212707519531"",""+03053914031"",""3095458623"",""3825637102"",""2707519531"",""+995599448977"",""+995591544057"",""+995595003256"",""5551550276"",""5599448977""]","[""თბილისი დავით აღმაშენებლის ხეივნის მე-10 კმ, ჭაშნაგირის ქ. N12"",""ქუთაისი გუგუნავას ქ. N13"",""თბილისი თორნიკე ერისთავის ქ. N29, კორპუსი 3 (გიორგი ჭყონდიდელის და თორნიკე ერისთავის ქუჩების კუთხე)"",""ქუთაისი გუგუნავას ქ. N13, სავაჭრო ცენტრი ოთხიანი""]"
LTD   MERMISI   KAPITALI,GÜRCİSTAN,4,"$26,981","[""bd@mermisi.ge""]","[""https://www.mermisi.ge""]","[""+995577124100"",""+995599247020""]","[""142 D. Agmashenebeli Avenue, Tbilisi, Georgia"",""82 Barnov Str., Tbilisi, 0179, Georgia""]"
TOO''BBS ARCHITECTURE DESIGN,GÜRCİSTAN,1,"$26,623","[""info@bbskz.com"",""info@prg.kz""]","[""https://ba.prg.kz/750000000-almaty/170840018222-too-bbs-architecture-design/""]","[""+77479516300"",""87017415577"",""0840018222""]","[""050012, ГОРОД АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, УЛ. МАСАНЧИ, Д. 76, КВ. 61""]"
DURMUSHOGLU LTD,GÜRCİSTAN,2,"$25,977","[""durmusoglunakliyat@hotmail.com""]","[""www.durmusoglunakliyat.com.tr""]","[""(+995) 577 74 61 61""]","[""Gudauta Sokağı N4, Tiflis, Gürcistan""]"
LTD.ERTOBA,GÜRCİSTAN,1,"$25,899","[""info@ertoba.ge""]","[""http://ertoba.ge""]","[""+995595337733"",""+995322670161""]","[""VII m/d Gldani, david jabidze str. #8, Tbilisi, 0107, Georgia""]"
ALALI PRIME TRADE LTD,GÜRCİSTAN,17,"$25,697",info@alali.ge,https://www.alali.ge,995588887272,
"LTD UPTRADE QİNDZMARAULİ İMPASSE 5/7, 0137 TBILISI",GÜRCİSTAN,8,"$25,253","[""Info@uptrade.ge"",""info@uptrade.ge""]","[""https://uptrade.ge/"",""www.uptrade.ge""]","[""+995 555 111 401"",""555 11 14 01"",""(555) 11 14 01""]","[""Tbilisi: Kindzmarauli alley 5/7, 0137 Tbilisi, Georgia"",""5/7 Kindzmarauli Lane, Tbilisi 0137, Georgia""]"
ARUSYAK MGDSYAN-ELIPS SHIN CODE: 32001013868,GÜRCİSTAN,2,"$25,233",,"[""https://companyinfo.ge/en/corporations/256364""]","[""3638106519""]",
REFIX TBILISI,GÜRCİSTAN,13,"$25,120","[""info@reffix.ge""]","[""https://www.refix.ge""]","[""995322560025""]","[""Tbilisi, A. Tvalchrelidze 2a"",""Batumi, M. Lermontovi 141"",""0105, Tbilisi, ძველი თბილისის რაიონი, ლ. ასათიანის ქ. 38""]"
UNIQUE SOLUTIONS LTD,GÜRCİSTAN,26,"$24,690","[""contact@uniquesolutions.com""]","[""https://www.uniquesolutionsltd.com/""]","[""+923001234567"",""3001234567"",""0703526194""]",
GEO FACADE SYSTEMS LTD,GÜRCİSTAN,2,"$24,549","[""temo.geofasadi@gmail.com""]","[""https://ggf.ge/en/contact"",""http://geofacade.ge/en""]","[""+995596348484"",""995322372754"",""(595) 117 250""]","[""Tbilisi, 2 Gamrekeli St., fl. 5""]"
GTEM HOSPİTALİTY LLC,GÜRCİSTAN,1,"$24,453","[""info@oktogroup.ge""]","[""https://oktogroup.ge/""]","[""2880829057"",""2677611078"",""+995585888883"",""5567701656"",""5585888883""]","[""4–6 Rustaveli Ave, Batumi, Georgia""]"
LLC NEXT GONIO,GÜRCİSTAN,3,"$24,332","[""info@nextgroup.ge""]","[""https://next-property.com/""]","[""+995574330033"",""+995514111111"",""+380676162222"",""+77479289898"",""+971522764664"",""+254769444440""]","[""Batumi, Kostava st. 20"",""Batumi, Luka Asatiani st. 18"",""Tbilisi, 37m Ilia Chavchavadze Avenue"",""Tbilisi, Tsurtsumia st. 12""]"
LTD.ALUPLAST GLASS,GÜRCİSTAN,3,"$23,761","[""ltd.aluplast.glass@gmail.com""]",,"[""593 70 80 80"",""593 444885""]","[""საქართველო, ქობულეთი, ს. ალამბარი, 1–ლი ქ., N 21"",""Sajavakho-Chokhatauri-Ozurgeti-Kobuleti, Alambari, Georgia""]"
ANAGI LLC.,GÜRCİSTAN,10,"$23,427","[""info@anagi.ge"",""office@anagi.ge""]","[""https://anagi.ge""]","[""+995322241211"",""+995422274139"",""2723450400""]","[""No. 37/39 Kostava Street, Tbilisi, Georgia, 0179"",""No. 1a Pirosmani Street, Batumi, Georgia, 6009""]"
LTD WINDOW STYLE,GÜRCİSTAN,2,"$23,372","[""infowindowstyle@gmail.com"",""infowindowsstyle@gmail.com""]","[""https://windowstyle.ge/""]","[""+995574229799""]","[""თბილისი, ნიკოლოზ ყიფშიძის ქუჩა, კორპუსი 10, ა.შ. 85""]"
WORLDHAUS LTD,GÜRCİSTAN,2,"$22,704",,"[""https://en.52wmb.com/buyer/177576410""]","[""+8616621075894"",""0429900000"",""2677098000"",""4289090900"",""4281020901"",""3926909790"",""2722605667"",""3973334029""]",
ROAD SAFETY SYSTEMS LLC,GÜRCİSTAN,12,"$21,865",,,"[""8008325660"",""7032804001"",""6098019332""]","[""1512 MAYS LANDING RD HAMMONTON, NJ 08037""]"
IMBA-2020 LLC,GÜRCİSTAN,8,"$21,807",,,"[""+052709837554"",""3897605270"",""2000000000"",""3158516699"",""2677098000"",""2722850256"",""2722877314"",""2722878900"",""2722901410"",""+14807453397"",""+18553741199"",""+18555739976"",""0202159972"",""3844102021"",""2722928697"",""2722928698"",""5277399999"",""4517399999""]","[""Iv Javakhishvili Street №91 Apartment №2b, Tbilisi, Georgia""]"
LTD MİEN,GÜRCİSTAN,10,"$21,621","[""info@miencompany.com""]","[""https://miencompany.com/""]","[""6168181970"",""0151951076"",""+00000000000"",""2503381673"",""4624441374"",""3359679952"",""3359681585"",""4193286639"",""+021609075495"",""+50647734917""]","[""2547 3 Mile Rd NW STE F Grand Rapids, MI 49534"",""1661 Monroe Ave NW Grand Rapids, MI 49505""]"
CITY LLC,GÜRCİSTAN,4,"$21,496","[""luxury@paragraphhotels.com""]","[""https://www.paragraphhotels.com""]","[""+995322448888"",""0461544148"",""3526704615"",""5322448888""]","[""Tbilisi, SOLOLAKI, 7 Freedom Square""]"
DHA LLC,GÜRCİSTAN,4,"$21,448",,"[""https://www.tendata.com/en/supplier/dha-llc-GEON8632e15c49436e175d8a6b937dc2ef81.html"",""https://www.georgiayp.com/category/Import_and_Export_agents/city:Tbilisi""]","[""+940340900000"",""+680221000019"",""+940320809000"",""+011502003518"",""5683783918"",""5714285714"",""2723088783"",""3101150200"",""+052709837554"",""3897605270"",""2470081442"",""2000000000"",""2723109009"",""2723120243""]",
EXINPRO LTD,GÜRCİSTAN,5,"$21,441","[""archil.khvedeliani@exinpro.ge""]",,"[""+995322181774""]","[""Ts.dadianis 39, Tbilisi, Georgia""]"
AVLABARI CITY LTD.,GÜRCİSTAN,7,"$21,362","[""service@nbd.ltd"",""info@ertoba.ge"",""info@08.ge"",""r.babaeva@gmail.com""]","[""https://en.nbd.ltd/trader/info/NBDX2H177447498"",""https://en.52wmb.com/buyer/140013841"",""https://www.08.ge/organizations/view/280743/avlabari-siti""]","[""0169000019"",""0360909000"",""0179000019"",""0360100000"",""0399100000"",""0330990000"",""+0701324008243"",""+0708373374976"",""+0718602024141"",""+0721955789619"",""+8616621075894"",""0320809000"",""0890980018"",""0721000000"",""0360909000"",""2722878900"",""4032080900"",""3089098001"",""4036090900"",""2723176428"",""+995591151168"",""+995591165555"",""+995322987589"",""+995577040028"",""+995577157530"",""+995577602602"",""+995322910808"",""4335943030"",""2968754719"",""3295639732""]","[""Moscow Ave. -15, Tbilisi 0120, Georgia (Samgori district)""]"
NOBAY LLC / LİMİTED LİABİLİTY COMPANY,GÜRCİSTAN,12,"$21,076",,,"[""2880829057"",""2677611078"",""0933105662"",""3909331056"",""4046562881"",""2722878900"",""3921906000"",""2723319215"",""2231508599""]",
LAZIKA RESIDENCE LLC ID: 419983824,GÜRCİSTAN,3,"$20,622","[""info@lazikaresidence.com""]","[""https://bm.ge/en/news/govt-transfers-land-worth-gel-950000-to-lazika-residence-for-its-own-construction-project"",""https://korter.ge/en/lazika-residence-zugdidi""]","[""+995598705555"",""+995322054262"",""+995322054272""]","[""Ganmukhuri, Megobroba Alley, 1, Zugdidi Municipality, Samegrelo-Zemo Svaneti, Georgia""]"
L.T.D. HOF,GÜRCİSTAN,5,"$20,520","[""import.hof@protonmail.com""]","[""https://companyinfo.ge/en/additional-search"",""http://biz.aris.ge/?language=en""]","[""3638106519"",""+995322192121"",""5589948630""]",
LTB ERGO,GÜRCİSTAN,4,"$20,456","[""ltb@posta.ge"",""info@ergo.ge""]","[""5260-ge.all.biz"",""www.ergo.ge""]","[""+995322667161"",""+995322665956"",""595906807"",""595906804""]","[""2 Eristavi str., Tbilisi, Georgia"",""117 Tsereteli Ave., Tbilisi, Georgia""]"
LTD EKOVIN,GÜRCİSTAN,2,"$20,387","[""info@ecoville.ge""]","[""https://ecoville.ge/en/""]","[""+995575777788"",""+056939964690"",""+0873347179952"",""+0963420648746"",""5575777788"",""5889131031"",""4562429367"",""4180569399"",""3180357022"",""2459087334""]","[""ქეთევან წამებულის 54 თბილისი 0144, საქართველო""]"
DAVIT KITIASHVILI,GÜRCİSTAN,7,"$20,263","[""davit.kitiashvili@thebigword.com""]","[""https://en-us.thebigword.com/contact/""]","[""1-646-768-1183""]","[""Tbilisi, Georgia""]"
ZILLER GROUP,GÜRCİSTAN,4,"$20,145","[""info@ziller.ge""]",,"[""(593) 00 90 50""]","[""0177, Tbilisi, Vake-Saburtalo District, Upper Vedzisi str. 97"",""Tbilisi, 7 Agladze St."",""Тбилиси, АВЧАЛА, Ул. Лазо 1""]"
LTD VILLA INVEST,GÜRCİSTAN,12,"$19,277","[""info@villainvest.net""]","[""https://villainvest.net/"",""https://korter.ge/ru/villa-invest""]","[""+995322054262"",""+995322054272"",""9046071880""]",
VIVA JALUZI 0144 IALBUZI,GÜRCİSTAN,6,"$18,954","[""info@vivajaluzi.com""]","[""https://vivajaluzi.ge"",""http://www.vivajaluzi.com""]","[""+995 32 245 44 99"",""032 245 44 99""]","[""Ialbuzi str. 12, 0144 Tbilisi, Isani-Samgori District, Georgia""]"
ELİTA BURJİ LTD,GÜRCİSTAN,3,"$18,880","[""info@elitaburji.com""]","[""http://elitaburji.com""]","[""+995322791331"",""+995 32 279 13 31""]","[""ბ.ხმელნიცკის ქ.№42 თბილისი, საქართველო 0136"",""Beri Gabriel Salosi str.118, Tbilisi, Georgia 0136""]"
DOORS LLC,GÜRCİSTAN,10,"$18,847",,,,
URBAN ELEMENTS LLC,GÜRCİSTAN,10,"$18,827","[""info@urbanelements.ge"",""dkurbanelements@gmail.com""]","[""https://urbanelements.ge"",""https://urbanelements.ge/en/contact""]","[""+995 (0)32 243 22 83"",""+995 322 432283"",""(599) 51 04 44""]","[""Z. Paliashvili 53, Tbilisi, Georgia, 0179"",""53 Zakaria Paliashvili Street, Tbilisi, Georgia""]"
TBILISI CITY LLC,GÜRCİSTAN,5,"$18,822","[""luxury@paragraphhotels.com""]","[""https://www.paragraphhotels.com""]","[""+940360909000"",""+940330910000"",""+940180000019"",""+3864377558"",""2003864377"",""+995322448888"",""0461544148"",""3526704615"",""5322448888""]","[""37m I. Chavchavadze ave. Tbilisi - 0162 Georgia"",""Tbilisi, SOLOLAKI, 7 Freedom Square""]"
FUTURE COMPANY LTD,GÜRCİSTAN,1,"$18,750","[""info@futureltd.org"",""jobs@futureltd.org""]","[""http://futureltd.org/""]","[""+96352464146"",""+963956306313""]","[""Jarmokli station, Kournish street, Qamishli, Syria""]"
LTD GND GROUP 2023,GÜRCİSTAN,5,"$18,336","[""info@gndpartners.com"",""easybarcode@easybarcode.org"",""info@belveder.ge"",""info@gcg.ge"",""info@gc-group.ge""]","[""https://easybarcode.org/4869002014479.html?srsltid=AfmBOor5E8tN8CBMMmFVyXJspFyGOr3wwV-hz272ipkWpeIGGsYTpAeV"",""https://gndpartners.com/about/contact-us""]","[""+995557947587"",""4869002014"",""4869001001"",""4869999999"",""5557947587"",""+97158580077"",""+447597535777"",""+0112258643915"",""3706798484"",""3706700077"",""+9953222261681999"",""+995322428008"",""3947299999"",""0322428008""]","[""43, Ilia Chavchavadze ave, Tbilisi, ZIP code 0179, Georgia""]"
"LLC "" GT DEVELOPMENT """,GÜRCİSTAN,4,"$17,971","[""info@gtinvest.ge""]","[""https://gtinvest.ge/"",""https://korter.ge/en/gt-development""]","[""+995322054262"",""+995322054272"",""+995597112200""]","[""ქ. თბილისი, ლიბანის პირველი ჩიხი"",""Khomli Street, 21 Tbilisi, Vake""]"
LTD FORIS 8,GÜRCİSTAN,1,"$17,673",,,,
EUROFASAD+,GÜRCİSTAN,2,"$17,220","[""info@eurofasad.ge""]","[""https://eurofasad.ge""]","[""+995599110146"",""+995598733909"",""+995322395979""]","[""TBILISI, VAJA-FSHAVELA AVE #52/3"",""Tbilisi, Gakhokidze #2a""]"
L.T.D UNICOM,GÜRCİSTAN,3,"$17,103","[""geounicom@yahoo.com"",""info@uni-com.ge""]","[""https://uni-com.ge""]","[""+995568115359"",""+995568115398"",""+995322369340"",""+995322141970"",""+995592164488""]","[""Agladze Street 7, Tbilisi, Georgia""]"
GREC LLC (405276375),GÜRCİSTAN,2,"$16,666",,,,
VEGA GEORGIA LTD.,GÜRCİSTAN,1,"$16,481","[""online@vega.ge""]","[""https://vega.ge/en""]","[""0322202233"",""+0322202233"",""220 22 33""]","[""72, Nutsubidze St., Tbilisi, Georgia""]"
LTD ATELUXI,GÜRCİSTAN,12,"$16,477",,,,
LTD. LTB,GÜRCİSTAN,57,"$16,412","[""ltb@ltb.ge""]","[""https://ltb.ge"",""https://5260-ge.all.biz/""]","[""+995322667161"",""+995322667162"",""+995322667163"",""0309976134578"",""03099761345""]","[""Georgia, Tbilisi, 2 Eristavi str."",""21 T. Eristavi St., Tbilisi, Georgia""]"
LLC AA3,GÜRCİSTAN,4,"$16,345",,"[""https://www.tendata.com/en/supplier/llc-aa3-GEON3a7b29ef2f618a2cdb751b1aa2020720.html""]","[""+700800890000"",""+761010000019"",""+700729000019"",""+011502003518"",""5683783918"",""5714285714"",""2769276048"",""3101150200""]","[""Tbilisi Chavchavadze Avenue N29-31-33""]"
LTD AMBASSADORI BATUMI,GÜRCİSTAN,36,"$16,266","[""sales@islandambassadori.com"",""info@islandambassadori.com"",""info@ambassadori.com""]","[""https://islandambassadori.com/""]","[""+995322055000"",""+995322055000""]","[""Ioane Shavteli 17, Tbilisi, Georgia"",""Egnate Ninoshvili Str, 11, Batumi, Georgia""]"
BAZALT TRANS VN 405372822,GÜRCİSTAN,3,"$16,248","[""mskhvitaridze@remax-georgia.ge"",""info@transcaucasus.com.ge""]","[""http://www.transcaucasus.com.ge""]","[""+995577404422"",""+9950322333007""]","[""მარნეულის ქუჩა n 46"",""პეკინის გამზ. 5, მე–2 სად. მე–2 სართ""]"
LUKA-2000 LTD,GÜRCİSTAN,3,"$16,006",,"[""https://korter.ge/ltd-luka""]","[""+995322054262"",""+995322054272"",""298-55-53""]","[""41, Tabukashvili Str., Tbilisi, 0108"",""Abastumani Street No: 8, Tbilisi""]"
G-ENCO LLC,GÜRCİSTAN,4,"$15,681","[""info@g-enco.com""]","[""https://g-enco.com/""]","[""+995511444888""]","[""კოტე ხიმშიაშვილების ქუჩა #8, Tbilisi, Georgia""]"
LTD MK ALUPRIFI,GÜRCİSTAN,3,"$15,655",,,,
KURA CONSTRUCTION,GÜRCİSTAN,2,"$15,404","[""kuracons@gmail.com"",""kuraconstruction@yahoo.com""]",,"[""+995 592 00 58 72"",""592 00 58 72""]","[""Rustavi, Georgia"",""Niko Lomouri Street, Rustavi"",""Murman Lebanidze Street, 20ა, Rustavi""]"
ARCHLINE ENGINEERING,GÜRCİSTAN,1,"$15,314","[""info@archline.ge""]","[""https://archline.ge/en/""]","[""0322111100"",""995511107479""]","[""7 Sandro Euli Street, T'bilisi, Georgia"",""5/7 Kindzmarauli Lane, Tbilisi, Georgia""]"
BIG CHEFS GEOIRGIA LLC,GÜRCİSTAN,2,"$14,722",,"[""https://www.bigchefs.com.tr/""]","[""+995558588800""]","[""29 Khimshiashvili Street, Batumi Grand Mall 4th Floor, Batumi 6000, Georgia""]"
LLC NOVO TECH,GÜRCİSTAN,42,"$14,699",,"[""https://novotechllc.com/""]","[""+17709258125"",""5366117043"",""16786233472"",""+16786233472"",""3333333333"",""17709258125""]","[""Kipshidze Turn 15, Floor 3, Tbilisi 0162, Georgia""]"
LTD CITY AND COS,GÜRCİSTAN,1,"$14,616",,,,
KOLKHI GROUP LTD.,GÜRCİSTAN,3,"$14,608","[""info@kolkhigroup.ge""]","[""https://kolkhigroup.ge""]","[""+995 599 03 70 70""]","[""Tbilisi. D. Agmashenebeli Ave, near LADA centre"",""Office Avchala, saradjishvili 6""]"
STEPLİNE LTD.,GÜRCİSTAN,2,"$14,376","[""stepline.info@gmail.com""]","[""https://www.stepline.ge/en""]","[""+995595544882""]","[""Shop: 106 Beliashvili Street, Workshop: 131 Shermadini Street, Tbilisi, Georgia""]"
MANUCHAR ZHOZHADZE,GÜRCİSTAN,13,"$14,275",,,,
TM COMPANY LLC,GÜRCİSTAN,2,"$14,217",,,,
GRAND MALL LLC,GÜRCİSTAN,6,"$14,080","[""info@grandmall.com.ge""]","[""https://grandmall.com.ge""]","[""+995422200006""]","[""ბათუმი, შერიფ ხიმშიაშვილის ქუჩა N29""]"
"LİSİ LNFİNİTE LLC GEORGİA,TBLİSİ",GÜRCİSTAN,2,"$14,023","[""tbi@lisi.ge""]","[""https://lisi.ge""]","[""+995322002727""]","[""ნეკერჩხლის #6, Lisi Green Town, Tbilisi""]"
ELCHIN ASHKIAROV,GÜRCİSTAN,12,"$13,885",,,,
BEE BOX LLC,GÜRCİSTAN,4,"$13,767","[""contact@beeboxgifts.com""]","[""https://www.beeboxgifts.com/""]","[""+0666666666667"",""3333333333"",""5904494547""]",
KASHVETI QASHVETI LLC,GÜRCİSTAN,5,"$13,705","[""giorgi-zosidze@mail.ru""]",,"[""3638106519""]","[""Sakartvelo, K. Batumi, P.lorias K. N 8, B. 16""]"
GT GROUP LLC.,GÜRCİSTAN,2,"$13,700","[""INFO@GTGROUPE.GE""]","[""https://gtgroup.ge""]","[""+995 2 740 740""]","[""#216, David Agmashenebeli Alley, 0131 Tbilisi (Adjacent to Mukhatgverdi Bridge), Georgia""]"
RCS (RC SOLUTIONS LTD),GÜRCİSTAN,2,"$13,675","[""info@rcsolutions.ge""]","[""http://www.rc.ge""]",,"[""Peikrebi Street 1 Tbilisi, GE""]"
SANPLAS ALIMINIUM LIBANI N4 VATNO:402238869,GÜRCİSTAN,1,"$13,381","[""sanplas09@gmail.com""]","[""https://www.yell.ge/company.php?lan=eng&id=154217""]","[""+995599058585"",""+995595772027"",""0461544148"",""+08788767805"",""3526704615""]","[""Tbilisi, AVCHALA, 4 Libani St.""]"
BLS LTD,GÜRCİSTAN,8,"$13,288","[""rebecca@blsholdingsgroup.com"",""bls@bls-ltd.com""]","[""https://blsholdingsgroup.com/contact/"",""https://www.bls-ltd.com/""]","[""+0831722221440"",""3908317222"",""2000000000"",""+36204297735""]","[""3638 WALTON WAY EXTENSION SUITE 201 AUGUSTA, GEORGIA 30909""]"
ROMAN TSETSKHLADZE,GÜRCİSTAN,10,"$13,253","[""r.tsetskhladze78@mail.ru""]",,,
GEA GROUP (NEW CITY),GÜRCİSTAN,5,"$13,084","[""info@gea.ge"",""INFO@GEA.COM.GE"",""pv@gea.ge""]","[""https://gea.com.ge""]","[""+995322384766"",""+995322370736""]","[""Vaja Pshavela avenue № 6, Tbilisi, 0160, Georgia""]"
LTD EDA,GÜRCİSTAN,5,"$12,909","[""team@eda.org.ge""]","[""https://eda.org.ge/en/""]","[""4285714285"",""5714285714""]","[""25/27 Petriashvili street, 2nd Floor. Tbilisi, Georgia""]"
LTD. FLEXMEDIA,GÜRCİSTAN,3,"$12,873","[""sales@flexmedia.ge"",""production@flexmedia.ge""]","[""https://flexmedia.ge/""]","[""+995577468587""]","[""ვაჟა ფშაველას პირველი ჩიხი 1/43, Tbilisi, Georgia""]"
402334595 TENDA 13,GÜRCİSTAN,7,"$12,597","[""odisey3333@gmail.com""]","[""https://www.companyinfo.ge/ka/corporations/439237""]","[""3638106519""]","[""საქართველო, ქ. გორი, სტალინის გამზ., N 23, ბ. 7""]"
GOGITA BERIDZE,GÜRCİSTAN,15,"$12,396",,,"[""+61006067829"",""+61006053441"",""+60001017175"",""+08001025963"",""+61006024468"",""3638106519""]",
OSMAN JIBLADZE,GÜRCİSTAN,2,"$12,224",,,"[""+392329900019"",""+850780000000"",""+870870990018"",""+011502003518"",""5683783918"",""5714285714"",""2770086112"",""3101150200"",""+8616621075894"",""0744009012"",""0899979929"",""0852000000"",""0399900029"",""2750935224"",""5407440090"",""3925908000"",""5208520000"",""3039990002""]",
LTD IMER -GLASS KOMP,GÜRCİSTAN,5,"$12,184","[""kaxa.idadze@hotmail.com""]",,"[""+995599912294""]","[""Kutaisi, Tsotne Dadiani Street (9 April Street), 1st entrance -8, Postal code: 4600, Georgia""]"
OTSNEBA  LTD,GÜRCİSTAN,1,"$12,110","[""headofsales@otsneba.ge"",""info@otsneba.ge""]","[""http://otsneba.ge/""]","[""+995 577 32 02 02"",""+995 577 21 00 05"",""+995 577 20 03 00""]","[""ბათუმი, ტაბიძის #4ა, ბათუმი, გაგარინის #32, ბათუმი, პუშკინის #27, ბათუმი, აღმაშენებლის #58, თბილისი, გრიგოლ ლორთქიფანიძის #166, თბილისი, წერეთლის #117""]"
FORIS 18 LLC,GÜRCİSTAN,2,"$12,024","[""info@foris.ge""]","[""https://foris.ge/""]","[""+995577009800"",""+9950322400800""]","[""4 Lekh Kachinski St. Tbilisi, Georgia""]"
LTD DESIGN METAL,GÜRCİSTAN,1,"$11,960","[""gtdesignmetal@hotmail.com""]","[""https://designmetal.ge/""]","[""+995595638889"",""0431231071"",""0431232199"",""597910232""]","[""ქ.ქუთაისი, ნიკეას ქუჩა N21 4600, საქართველო""]"
ART BURJI,GÜRCİSTAN,3,"$11,944","[""info@bia.ge"",""sales@bia.ge""]","[""https://www.bia.ge/EN/Company/103861?ServiceCategoryId=69&ServiceId=3579"",""https://madloba.info/en/tbilisi/postavshchiki-dverey-i-okon/postavshchik-dverei-i-okon-art-burji/""]","[""+995577720999"",""+05646449730"",""5632056464"",""5577720999""]","[""0182, Tbilisi, Isani-Samgori District, Varketili mass. X Q. 12 Bldg, Apartm. 6"",""st. Peikarta, 14, Tbilisi, Georgia""]"
ADWINGS ADVERTISING COMPANY,GÜRCİSTAN,1,"$11,941","[""sales@adwings.ge"",""info@adwings.ge""]","[""https://adwings.ge"",""https://shop.adwings.ge""]","[""+995577600833""]","[""13n Mikheil Tamarashvili St, Tbilisi, Georgia""]"
ARCHTRADE LLC,GÜRCİSTAN,11,"$11,834",info@archtrade.ge,https://archtrade.ge/,995322207400; 995322207401; 995322207500,"Vazha-Pshavela ave. 71, 0186, Tbilisi, Georgia"
SXIVI+,GÜRCİSTAN,1,"$11,786","[""sales@skhiviplus.ge"",""info@skhiviplus.ge""]","[""https://skhiviplus.ge""]","[""+995577366336"",""+0322112116""]","[""თორნიკეს ერისთავსი 32, თბილისი"",""აგლაძის 20, თბილისი"",""ჯავახიშვილის 32, ბათუმი""]"
STRUCTIFORM LLC,GÜRCİSTAN,1,"$11,625",,,,
PQG LLC,GÜRCİSTAN,7,"$11,568","[""info@easyboostmedia.com""]","[""https://www.easyboostmedia.com""]",,
MAGTICOM LTD. GEORGIA,GÜRCİSTAN,1,"$11,338","[""office@magticom.ge""]","[""https://www.magticom.ge""]","[""+995322170000"",""5322170000""]","[""Tbilisi, 7 A. Politkovskaya st.""]"
GIA SHANTADZE,GÜRCİSTAN,13,"$11,210",,,,
P/E RAFAEL SHIRVANI,GÜRCİSTAN,1,"$11,085",,,,
